,True Pos,False Pos,False Neg,True Neg,Errors,Eficiency
8747,182,35.0,13,1163.0,0,96.55419956927494
8748,174,42.0,14,1163.0,0,95.97989949748744
8749,189,32.0,4,1168.0,0,97.4156496769562
8750,179,39.0,12,1163.0,0,96.33883704235463
8751,163,37.0,9,1183.0,1,96.69540229885058
8752,190,39.0,10,1153.0,1,96.47988505747126
8753,175,37.0,12,1169.0,0,96.4824120603015
8754,177,33.0,7,1176.0,0,97.12849964106246
8755,172,42.0,9,1170.0,0,96.33883704235463
8756,175,37.0,10,1171.0,0,96.62598707824839
8757,187,30.0,12,1164.0,0,96.98492462311557
8758,168,37.0,14,1173.0,1,96.33620689655173
8759,178,35.0,11,1169.0,0,96.69777458722182
8760,182,37.0,5,1169.0,0,96.98492462311557
8761,169,34.0,11,1179.0,0,96.76956209619526
8762,186,35.0,13,1159.0,0,96.55419956927494
8763,181,23.0,14,1175.0,0,97.34386216798278
8764,168,29.0,7,1189.0,0,97.4156496769562
8765,192,29.0,10,1162.0,0,97.20028715003589
8766,185,29.0,9,1170.0,0,97.27207465900933
8767,180,32.0,15,1164.0,2,96.62113587347233
8768,156,35.0,12,1189.0,1,96.62356321839081
8769,168,32.0,11,1181.0,1,96.91091954022988
8770,174,27.0,10,1182.0,0,97.34386216798278
8771,162,27.0,13,1191.0,0,97.12849964106246
8772,201,26.0,11,1155.0,0,97.34386216798278
8773,179,32.0,15,1166.0,1,96.62356321839081
8774,175,30.0,10,1178.0,0,97.12849964106246
8775,186,33.0,12,1161.0,1,96.76724137931035
8776,183,30.0,11,1169.0,0,97.05671213208902
8777,167,33.0,12,1180.0,1,96.76724137931035
8778,175,27.0,11,1180.0,0,97.27207465900933
8779,176,29.0,11,1176.0,1,97.12643678160919
8780,204,32.0,15,1141.0,1,96.62356321839081
8781,168,31.0,12,1181.0,1,96.91091954022988
8782,178,29.0,9,1176.0,1,97.27011494252874
8783,181,29.0,9,1174.0,0,97.27207465900933
8784,183,35.0,9,1165.0,1,96.83908045977012
8785,166,35.0,12,1179.0,1,96.62356321839081
8786,172,32.0,4,1185.0,0,97.4156496769562
8787,180,33.0,12,1166.0,2,96.764917325665
8788,167,33.0,9,1182.0,2,96.98058950395398
8789,178,31.0,9,1175.0,0,97.12849964106246
8790,168,40.0,8,1176.0,1,96.55172413793103
8791,185,28.0,9,1170.0,1,97.3419540229885
8792,172,42.0,8,1171.0,0,96.41062455132807
